prgId,menu_label,menuSeq
E090174,WMS Inventory Adjustment,MENUTREE_002468
E090178,Inventory History Mgmt,MENUTREE_002470
E090180,Scheduled Receipt,MENUTREE_001968
E090181,Process Receipt,MENUTREE_001969
E090182,Scheduled Release,MENUTREE_002465
E090184,Process Release,MENUTREE_002466
E090195,WMS Inventory Balance,MENUTREE_002469
E090196,New (Decrease),MENUTREE_002467
E090199,New (Increase),MENUTREE_001970
E090215,Select WMS Account,MENUTREE_001966
E090216,Warehouse Mgmt,MENUTREE_001958
E090220,Org. Chart Status,MENUTREE_002717
E090222,Reg. Org. Chart,MENUTREE_002761
E090230,Scheduled Release Status,MENUTREE_002763
E090231,Scheduled Receipt Status,MENUTREE_002768
E100000,Register Collected Data,MENUTREE_002778
E101001,Collect Sales Slip,MENUTREE_002779
E101049,Collect Quotation,MENUTREE_002827
E101050,Collect Purchase Order,MENUTREE_002828
E101501,Collected Data,MENUTREE_002829
E200062,Notice,MENUTREE_002036
E200064,Task Management,MENUTREE_002037
E200162,Work,MENUTREE_002136
E200319,Sales Activity Management,MENUTREE_002238
E200321,Consultation History Management,MENUTREE_002239
E200419,Site Schedule,MENUTREE_002599
E200421,SW Development Schedule Management,MENUTREE_002600
N000007,Customer/Vendor AR Book,MENUTREE_003166
N000008,Customer/Vendor AR Book Print,MENUTREE_003167
N000012,Customer/Vendor AP Book,MENUTREE_003168
N000013,Print Customer/Vendor AP Summary Book,MENUTREE_003169
N000045,Customer/Vendor AR Summary Book,MENUTREE_003170
N000046,Customer/Vendor AP Summary Book,MENUTREE_003171
N000116,Sales Invoice List,MENUTREE_003214
N000117,Sales Invoice List (Inv.),MENUTREE_003215
N000118,Sales Invoice Status,MENUTREE_003218
N000119,Sales Invoice Status (Inv.),MENUTREE_003219
N000120,Sales Invoice Status (Contract),MENUTREE_003221
N000121,Sales Summary,MENUTREE_003222
N000122,Sales/Purchase Book,MENUTREE_003223
N000124,Purchase Invoice List,MENUTREE_003225
N000125,Purchase Invoice List,MENUTREE_003226
N000126,Purchase Invoice Status,MENUTREE_003230
N000127,Purchase Invoice Status (Inv.),MENUTREE_003231
N000128,Purchase Summary,MENUTREE_003234
P000053,Data Management,MENUTREE_002527
P000054,Backup and Delete,MENUTREE_002528
P000055,Reset Data,MENUTREE_002559
P000063,Set Org. Chart,MENUTREE_002760
