prgId,menu_label,menuSeq
C001402,Collect Data,MENUTREE_002777
C061101,e-Contract,MENUTREE_002588
C061103,e-Employment Contract,MENUTREE_002591
E000106,Company Information,MENUTREE_000636
E000107,Reg. User,MENUTREE_000640
E000109,Default Settings,MENUTREE_000647
E000113,Mgmt Report Email,MENUTREE_000638
E000114,Logo/Stamp,MENUTREE_000639
E000115,Authorization Group Settings,MENUTREE_000641
E000117,User Login History,MENUTREE_000644
E000125,API Authentication Key Issuance,MENUTREE_001534
E000126,C-Portal Group Settings,MENUTREE_001603
E000127,Add/Set up User ID,MENUTREE_001604
E000129,Ecount Excel Uploader,MENUTREE_000279
E000131,Awaiting for Permission Approval,MENUTREE_001768
E000132,Login History Monitoring,MENUTREE_001800
E000137,Webmail Settings,MENUTREE_001882
E000138,Webmail ID Settings,MENUTREE_001883
E000139,Convenience Function,MENUTREE_001947
E000140,File History,MENUTREE_002759
E000142,Security History Status,MENUTREE_002949
E000143,Administrator Settings,MENUTREE_002950
E000160,UserPay Group Settings,MENUTREE_002770
E000161,UserPay Settings,MENUTREE_002906
E010101,Customer/Vendor,MENUTREE_000170
E010103,Reg. Card,MENUTREE_000054
E010104,Reg. Bank Account,MENUTREE_000055
E010105,Department,MENUTREE_002773
E010106,Approval Line for Print (Acct.),MENUTREE_000058
E010107,Chart of Accounts,MENUTREE_000062
E010109,Merchant Account,MENUTREE_000059
E010110,PIC/Employee,MENUTREE_000177
E010111,Change Code,MENUTREE_000063
E010112,Project,MENUTREE_000173
E010114,Payment Agency,MENUTREE_000060
E010118,Reg. Add. Field Type,MENUTREE_000733
E010201,General Journal,MENUTREE_000067
E010207,PG Sales List,MENUTREE_002566
E010208,Bank Reconciliation,MENUTREE_001389
E010209,New Balance Adjustment,MENUTREE_001699
E010210,Balance Adjustment List,MENUTREE_001701
E010211,Bal. Count List,MENUTREE_001706
E010212,Bal. Adjustment Status,MENUTREE_001801
E010213,Auto Generate Voucher List,MENUTREE_001940
E010301,Sales Invoice I,MENUTREE_000076
E010303,Purchase Invoice I,MENUTREE_000078
E010401,From Employee,MENUTREE_000323
E010402,Receipt,MENUTREE_000329
E010403,Receipt Journal,MENUTREE_000069
E010404,Cash In - From Customer,MENUTREE_000324
E010405,From Merchant Account,MENUTREE_000325
E010406,Bank Loan,MENUTREE_000326
E010407,From Others,MENUTREE_000327
E010408,Payment Journal,MENUTREE_000068
E010409,Cash Out - To Vendor,MENUTREE_000330
E010410,To Employee,MENUTREE_000331
E010411,Bank Transfer,MENUTREE_000332
E010412,To Credit Card,MENUTREE_000333
E010413,Loan Repayment/Interest,MENUTREE_000334
E010414,To Others,MENUTREE_000335
E010501,Receipt,MENUTREE_000336
E010503,Others,MENUTREE_000084
E010504,Credit Card Receipt,MENUTREE_000337
E010505,S/A Journal,MENUTREE_000070
E010601,Increase of Note Receivable,MENUTREE_000085
E010602,Decrease of Note Receivable,MENUTREE_000086
E010603,Notes Endorsement,MENUTREE_000087
E010604,Increase of Notes Payable,MENUTREE_000088
E010605,Decrease of Notes Payable,MENUTREE_000089
E010609,Asset Type,MENUTREE_001625
E010610,Asset List,MENUTREE_000091
E010611,Asset Increase,MENUTREE_000092
E010612,Asset Decrease,MENUTREE_000093
E010613,Asset Book,MENUTREE_000339
E010614,Increase Asset List,MENUTREE_000340
E010615,Decrease Asset List,MENUTREE_000341
E010616,Depreciation,MENUTREE_000344
E010617,Asset Balance,MENUTREE_000342
E010618,Asset Variance Log,MENUTREE_000343
E010619,Asset Voucher List,MENUTREE_001626
E010621,Decrease of Note Receivable - Batch,MENUTREE_001919
E010622,Note Receivable List,MENUTREE_001920
E010623,Note Receivable Transactions,MENUTREE_001921
E010624,Increase of Note Receivable Balance,MENUTREE_001922
E010625,Decrease of Note Receivable Balance,MENUTREE_001923
E010626,Outstanding Notes Status,MENUTREE_001924
E010629,Decrease of Notes Payable - Batch,MENUTREE_001926
E010630,Note Payable List,MENUTREE_001927
E010631,Note Payable Transactions,MENUTREE_001928
E010632,Increase of Note Payable Balance,MENUTREE_001929
E010633,Decrease of Note Payable Balance,MENUTREE_001930
E010634,Notes Payable Status,MENUTREE_001931
E010701,Accounting Transaction List,MENUTREE_000098
E010702,Print Voucher,MENUTREE_000099
E010705,Update Balance for Accounting,MENUTREE_000114
E010710,Print Payment Journal,MENUTREE_000104
E010711,Print Receipt Journal,MENUTREE_000105
E010712,View Transaction History,MENUTREE_000095
E010714,Print Suspense Account Journal,MENUTREE_000106
E010730,Accounting vs. Inventory,MENUTREE_001533
E010801,Cash Book,MENUTREE_000113
E010802,Journal,MENUTREE_000363
E010803,Daily Trial Balance,MENUTREE_000364
E010804,Fund Statement,MENUTREE_000112
E010805,Cash Flow (Deposit and Withdrawal Details),MENUTREE_000111
E010807,LedgerⅠ,MENUTREE_000361
E010808,LedgerⅡ,MENUTREE_000360
E010809,LedgerⅢ,MENUTREE_001354
E010811,Compound Trial Balance,MENUTREE_000370
E010812,Income Statement,MENUTREE_000368
E010813,Balance Sheet,MENUTREE_000367
E010815,Fund In./De. Details,MENUTREE_000358
E010816,Schedule of Cost,MENUTREE_000369
E010817,Retained Earnings Statement,MENUTREE_001358
E010819,Monthly Income Statement,MENUTREE_000353
E010821,Management Report,MENUTREE_000357
E010822,AR/AP Aging,MENUTREE_000355
E010823,AR/AP Aging Details,MENUTREE_000356
E010824,Monthly Cost,MENUTREE_000354
E010829,Search Customer/Vendor Transactions,MENUTREE_001355
E010830,Cash Report,MENUTREE_000110
E010831,Currency Ledger,MENUTREE_000380
E010832,Statement of Operation,MENUTREE_001359
E010833,Customer/Vendor Book I,MENUTREE_001384
E010835,Payments Journal Sum.,MENUTREE_000377
E010836,Receipts Journal Sum.,MENUTREE_000378
E010840,S/A Journal Sum.,MENUTREE_000379
E010842,Customer/Vendor Book II,MENUTREE_001385
E010843,Accounting Summary,MENUTREE_000359
E010844,Chart of Accounts Status,MENUTREE_001357
E010847,Accounting Transaction Status,MENUTREE_001906
E010850,Custom Report,MENUTREE_001360
E010851,Message Log,MENUTREE_001613
E010856,Ledger IV,MENUTREE_001661
E010857,Account In./De. Details,MENUTREE_001710
E010858,Sent Doc. History,MENUTREE_002595
E010861,Statement of Cash Flows,MENUTREE_002897
E020105,Day Labor Employee,MENUTREE_002491
E020133,Day Labor Payroll Transfer Status,MENUTREE_002504
E020135,Day Labor Search Payroll by Employee,MENUTREE_002503
E020136,Day Labor Earnings,MENUTREE_002492
E020137,Day Labor Deduction,MENUTREE_002493
E020138,New Day Labor Work,MENUTREE_002499
E020139,Day Labor Payroll Book,MENUTREE_002498
E020201,Monthly Budget List,MENUTREE_000136
E020202,Budget Status,MENUTREE_000430
E020203,Budget vs. Actual,MENUTREE_000431
E020204,Budget Control Book,MENUTREE_000432
E020205,Budget-Actual Book,MENUTREE_001760
E020206,Controlled Budget vs. Actual,MENUTREE_001795
E020602,Assignment List,MENUTREE_002479
E020603,Employee Profile,MENUTREE_002478
E020606,General Certificate,MENUTREE_002485
E020609,Employee Status,MENUTREE_002487
